Driver,LapNumber,LapTime,Stint,Compound,TyreLife,TrackStatus,Position
VER,1.0,0 days 00:01:39.019000,1.0,SOFT,4.0,12,1.0
VER,2.0,0 days 00:01:37.974000,1.0,SOFT,5.0,12,1.0
VER,3.0,0 days 00:01:38.006000,1.0,SOFT,6.0,1,1.0
VER,4.0,0 days 00:01:37.976000,1.0,SOFT,7.0,1,1.0
VER,5.0,0 days 00:01:38.035000,1.0,SOFT,8.0,1,1.0
VER,6.0,0 days 00:01:37.986000,1.0,SOFT,9.0,1,1.0
VER,7.0,0 days 00:01:38.021000,1.0,SOFT,10.0,1,1.0
VER,8.0,0 days 00:01:38.154000,1.0,SOFT,11.0,1,1.0
VER,9.0,0 days 00:01:38.278000,1.0,SOFT,12.0,1,1.0
VER,10.0,0 days 00:01:38.369000,1.0,SOFT,13.0,1,1.0
VER,11.0,0 days 00:01:38.483000,1.0,SOFT,14.0,1,1.0
VER,12.0,0 days 00:01:38.591000,1.0,SOFT,15.0,1,1.0
VER,13.0,0 days 00:01:38.482000,1.0,SOFT,16.0,1,1.0
VER,14.0,0 days 00:01:41.295000,1.0,SOFT,17.0,1,1.0
VER,15.0,0 days 00:01:58.378000,2.0,SOFT,1.0,1,2.0
VER,16.0,0 days 00:01:37.801000,2.0,SOFT,2.0,1,2.0
VER,17.0,0 days 00:01:37.648000,2.0,SOFT,3.0,1,2.0
VER,18.0,0 days 00:01:37.614000,2.0,SOFT,4.0,1,1.0
VER,19.0,0 days 00:01:37.712000,2.0,SOFT,5.0,1,1.0
VER,20.0,0 days 00:01:37.788000,2.0,SOFT,6.0,1,1.0
VER,21.0,0 days 00:01:37.582000,2.0,SOFT,7.0,1,1.0
VER,22.0,0 days 00:01:37.651000,2.0,SOFT,8.0,1,1.0
VER,23.0,0 days 00:01:37.552000,2.0,SOFT,9.0,1,1.0
VER,24.0,0 days 00:01:37.387000,2.0,SOFT,10.0,1,1.0
VER,25.0,0 days 00:01:37.372000,2.0,SOFT,11.0,1,1.0
VER,26.0,0 days 00:01:37.682000,2.0,SOFT,12.0,1,1.0
VER,27.0,0 days 00:01:37.379000,2.0,SOFT,13.0,1,1.0
VER,28.0,0 days 00:01:37.651000,2.0,SOFT,14.0,1,1.0
VER,29.0,0 days 00:01:37.571000,2.0,SOFT,15.0,1,1.0
VER,30.0,0 days 00:01:37.549000,2.0,SOFT,16.0,1,1.0
VER,31.0,0 days 00:01:37.431000,2.0,SOFT,17.0,1,1.0
VER,32.0,0 days 00:01:37.691000,2.0,SOFT,18.0,1,1.0
VER,33.0,0 days 00:01:37.686000,2.0,SOFT,19.0,1,1.0
VER,34.0,0 days 00:01:37.839000,2.0,SOFT,20.0,1,1.0
VER,35.0,0 days 00:01:37.850000,2.0,SOFT,21.0,1,1.0
VER,36.0,0 days 00:01:40.964000,2.0,SOFT,22.0,1,1.0
VER,37.0,0 days 00:01:58.490000,3.0,HARD,1.0,1,1.0
VER,38.0,0 days 00:01:36.297000,3.0,HARD,2.0,1,1.0
VER,39.0,0 days 00:01:36.446000,3.0,HARD,3.0,1,1.0
VER,40.0,0 days 00:01:36.942000,3.0,HARD,4.0,1,1.0
VER,41.0,0 days 00:02:00.495000,3.0,HARD,5.0,126,1.0
VER,42.0,0 days 00:01:44.824000,3.0,HARD,6.0,671,1.0
VER,43.0,0 days 00:01:36.890000,3.0,HARD,7.0,1,1.0
VER,44.0,0 days 00:01:36.236000,3.0,HARD,8.0,1,1.0
VER,45.0,0 days 00:01:37.015000,3.0,HARD,9.0,1,1.0
VER,46.0,0 days 00:01:36.701000,3.0,HARD,10.0,1,1.0
VER,47.0,0 days 00:01:37.009000,3.0,HARD,11.0,1,1.0
VER,48.0,0 days 00:01:36.918000,3.0,HARD,12.0,1,1.0
VER,49.0,0 days 00:01:36.962000,3.0,HARD,13.0,1,1.0
VER,50.0,0 days 00:01:37.250000,3.0,HARD,14.0,1,1.0
VER,51.0,0 days 00:01:37.427000,3.0,HARD,15.0,1,1.0
VER,52.0,0 days 00:01:36.919000,3.0,HARD,16.0,1,1.0
VER,53.0,0 days 00:01:36.890000,3.0,HARD,17.0,1,1.0
VER,54.0,0 days 00:01:36.678000,3.0,HARD,18.0,1,1.0
VER,55.0,0 days 00:01:36.322000,3.0,HARD,19.0,1,1.0
VER,56.0,0 days 00:01:37.205000,3.0,HARD,20.0,1,1.0
VER,57.0,0 days 00:01:36.373000,3.0,HARD,21.0,1,1.0
GAS,1.0,0 days 00:01:49.649000,1.0,SOFT,1.0,12,19.0
GAS,2.0,0 days 00:01:40.438000,1.0,SOFT,2.0,21,18.0
GAS,3.0,0 days 00:01:40.643000,1.0,SOFT,3.0,1,18.0
GAS,4.0,0 days 00:01:40.894000,1.0,SOFT,4.0,1,18.0
GAS,5.0,0 days 00:01:40.818000,1.0,SOFT,5.0,1,18.0
GAS,6.0,0 days 00:01:41.110000,1.0,SOFT,6.0,1,18.0
GAS,7.0,0 days 00:01:41.134000,1.0,SOFT,7.0,1,18.0
GAS,8.0,0 days 00:01:41.173000,1.0,SOFT,8.0,1,18.0
GAS,9.0,0 days 00:01:44.201000,1.0,SOFT,9.0,1,19.0
GAS,10.0,0 days 00:02:01.262000,2.0,HARD,1.0,1,20.0
GAS,11.0,0 days 00:01:38.762000,2.0,HARD,2.0,1,19.0
GAS,12.0,0 days 00:01:38.928000,2.0,HARD,3.0,1,17.0
GAS,13.0,0 days 00:01:39.349000,2.0,HARD,4.0,1,14.0
GAS,14.0,0 days 00:01:38.859000,2.0,HARD,5.0,1,14.0
GAS,15.0,0 days 00:01:38.985000,2.0,HARD,6.0,1,14.0
GAS,16.0,0 days 00:01:38.945000,2.0,HARD,7.0,1,12.0
